SegmentID,RBoro
"0085087","2"
"0132595","2"
"0087759","2"
"0079474","2"
"0087518","2"
"0088858","2"
"0107321","2"
"0087621","2"
"0086075","2"
"0086075","2"
"0086075","2"
"0079458","2"
"0080762","2"
"0085819","2"
"0085821","2"
"0085794","2"
"0108898","2"
"0086020","2"
"0176185","2"
"0085095","2"
"0085095","2"
"9004219","2"
"0088879","2"
"9004381","2"
"0085786","2"
"0085786","2"
"0107369","2"
"0081394","2"
"0081394","2"
"0081394","2"
"0081394","2"
"0081393","2"
"0081400","2"
"0085769","2"
"0177786","2"
"0088912","2"
"0176152","2"
"0176152","2"
"0087484","2"
"0085947","2"
"0085985","2"
"0085985","2"
"0108900","2"
"0085129","2"
"0086053","2"
"0085827","2"
"0085937","2"
"0080664","2"
"0176084","2"
"9002408","2"
"0081408","2"
"0078045","2"
"0175805","2"
"0176554","2"
"0085977","2"
"0086006","2"
"0087653","2"
"0080710","2"
"0176518","2"
"0079494","2"
"0079495","2"
"0109129","2"
"0109129","2"
"0109129","2"
"0109129","2"
"0087520","2"
"0087672","2"
"0087684","2"
"0081367","2"
"0080685","2"
"0085911","2"
"0086045","2"
"0087698","2"
"0093847","2"
"0071999","2"
"0178148","2"
"0072826","2"
"0094493","2"
"0094001","2"
"0078546","2"
"0078534","2"
"0087694","2"
"0072971","2"
"0072971","2"
"0088758","2"
"0095030","2"
"0086049","2"
"0086049","2"
"0086049","2"
"0086062","2"
"0086048","2"
"0073240","2"
"0095764","2"
"0095589","2"
"0107361","2"
"0086046","2"
"0080713","2"
"9004186","2"
"0086013","2"
"0085956","2"
"0178600","2"
"0086067","2"
"0079467","2"
"0085882","2"
"0087505","2"
"0087504","2"
"0088904","2"
"0086047","2"
"0085150","2"
"0079322","2"
"0081403","2"
"0081384","2"
"0087521","2"
"0085873","2"
"0183908","2"
"0085993","2"
"0085940","2"
"0085941","2"
"0081362","2"
"0079372","2"
"0079372","2"
"0079457","2"
"0087570","2"
"0087570","2"
"0087570","2"
"0087569","2"
"0087569","2"
"0114032","2"
"0088883","2"
"0088933","2"
"9004409","2"
"0078018","2"
"0079371","2"
"0085766","2"
"0085092","2"
"0085108","2"
"9004314","2"
"0087673","2"
"0088922","2"
"0086031","2"
"0121133","2"
"0085093","2"
"0085094","2"
"0085917","2"
"0113642","2"
"0081334","2"
"0079054","2"
"0079205","2"
"0079205","2"
"0079205","2"
"0079205","2"
"0077803","2"
"0079242","2"
"0079242","2"
"0079242","2"
"0079242","2"
"0079243","2"
"0081311","2"
"0079252","2"
"0077821","2"
"0080551","2"
"0080381","2"
"0080431","2"
"0080497","2"
"0077952","2"
"0081304","2"
"0079354","2"
"0079185","2"
"0077819","2"
"0077804","2"
"0080484","2"
"0113638","2"
"0079151","2"
"0077779","2"
"0175966","2"
"0175998","2"
"9014613","2"
"0191715","2"
"0081288","2"
"0080212","2"
"0111738","2"
"0080435","2"
"0081293","2"
"0081293","2"
"0079298","2"
"0079298","2"
"0079298","2"
"0081296","2"
"0081296","2"
"0078848","2"
"0080325","2"
"0079096","2"
"0080436","2"
"0077107","2"
"0077918","2"
"0175741","2"
"0175741","2"
"0111584","2"
"0078915","2"
"0079228","2"
"0080542","2"
"0080556","2"
"9000386","2"
"0080210","2"
"0078879","2"
